id_cliente,nombre,apellido,telefono,email,fecha_registro
1,David,Bernal,+57 606 713 22 80,alejandro32@example.org,2025-05-19
2,David,Serna,(+57) 302 738 90 76,,2024-04-16
3,Felipe,Díaz,3062674768,,2024-11-15
4,Pedro,Salazar,57 327 908 41 74,hugo36@example.net,2024-11-10
5,Antonio,Andrade,+57 604 887 61 18,astrid41@example.net,2026-03-06
6,Ronal,Quintero,321 771 44 55,uguevara@example.org,2024-09-26
7,Fernando,Gutiérrez,+576082794711,dpineda@example.net,2024-05-07
8,Liliana,Jaimes,(+57)6073155118,andrespacheco@example.org,2026-02-05
9,Andrea,Hoyos,57 319 046 53 41,,2025-03-19
10,Lucía,Ramírez,329 686 99 88,williamgalindo@example.com,2025-05-23
11,Luis,Vallejo,018002938531,maria56@example.net,2025-05-08
12,Elena,Cárdenas,57 310 914 69 66,pabloserna@example.com,2026-02-19
13,Julián,Carmona,+573268224243,,2024-03-31
14,Teresa,Montoya,57 318 436 78 59,,2024-08-29
15,Carlos,Beltrán,6069306571,manuelcaballero@example.com,2024-12-10
16,Rosa,Álvarez,321 897 09 33,martha47@example.net,2025-05-10
17,Juan,Vargas,+573028514811,,2026-02-28
18,William,Ospina,+573066271340,zgaleano@example.org,2025-11-12
19,Fanny,Carrillo,(+57) 315 391 52 50,jimenezdaniela@example.org,2025-06-02
20,Rafael,Daza,9811131,alvaradoarmando@example.com,2024-05-19
21,Edilma,Serna,01 8000 437 853,wilson85@example.com,2025-06-02
22,Karen,Velasco,+57 300 901 44 67,dianaortiz@example.com,2024-06-08
23,Sandra,Fernández,(+57) 301 536 94 87,perezdiego@example.net,2024-03-30
24,Fernando,Uribe,300 458 99 79,riverakarina@example.net,2025-03-31
25,Sonia,Vanegas,57 303 424 32 09,mvillegas@example.org,2025-09-24
26,Omar,Pérez,57 304 661 85 24,dfigueroa@example.org,2025-01-07
27,Valentina,Serna,6066033051,xgarcia@example.net,2025-11-09
28,Juan,Ortiz,(+57)3195816281,barreradiego@example.net,2025-09-20
29,Patricia,Galvis,(+57)3234241657,,2024-10-17
30,Román,Morales,(+57) 606 358 84 73,,2026-03-05
31,Victoria,Estrada,576084909759,gonzalezana@example.org,2024-08-26
32,Armando,Mena,300 241 97 93,,2024-09-26
33,Sandra,Velásquez,319 311 71 62,luiscorredor@example.org,2024-05-31
34,René,Vásquez,573257108292,,2025-05-01
35,María,Agudelo,57 304 193 68 94,bolivarpedro@example.net,2024-10-26
36,Freddy,Rodríguez,+573249287697,claudiacastaneda@example.com,2025-08-03
37,Luis,Barrios,(+57) 321 884 36 86,brodriguez@example.com,2024-10-01
38,Juan,Sánchez,3209060676,ardiladayana@example.com,2026-01-16
39,Sandra,Caicedo,57 318 899 54 56,hpatino@example.org,2025-09-16
40,Rosalba,Rodríguez,3168742610,rioseduardo@example.net,2024-07-12
41,Andrea,Padilla,(+57) 609 435 64 06,,2025-02-12
42,Camilo,Palacios,576017586248,,2024-04-28
43,Patricia,Duque,57 300 905 44 64,,2024-06-03
44,Nayibe,Silva,+57 321 509 20 12,,2025-02-03
45,Gabriel,Torres,+573265635056,tamayomaria@example.org,2024-04-24
46,Verónica,Castillo,(+57)3207219208,,2024-06-08
47,Edinson,Henao,+57 328 813 72 33,julioescobar@example.org,2025-04-22
48,Manuel,Anaya,+573090983134,camiloospina@example.org,2026-03-28
49,Eugenia,Márquez,3254316736,,2026-01-15
50,Wilmar,Suárez,6066990457,,2026-03-16
51,Valentina,Rodríguez,01 8007 052 855,riosandrea@example.com,2025-05-03
52,Alonso,Hernández,304 430 32 63,montoyaluz@example.com,2025-11-18
53,María,Sepúlveda,3127432473,jorge29@example.net,2024-11-19
54,Luz,García,01 8007 639 660,daniel00@example.org,2026-03-19
55,Diego,Suárez,573263199509,cpena@example.net,2024-04-24
56,Jair,Silva,+57 609 249 67 87,galvispiedad@example.com,2024-08-10
57,Patricia,Pérez,3226956850,alexanderjimenez@example.net,2024-04-30
58,Elena,Rojas,576014784346,nidiafranco@example.org,2025-04-17
59,Javier,Barrera,57 321 919 50 52,john69@example.net,2025-08-02
60,Dairo,Hernández,308 17 34,,2025-05-27
61,Fredy,Rodríguez,6058995713,luis22@example.net,2025-05-02
62,Germán,Trujillo,+57 315 592 79 87,,2025-01-31
63,Armando,Rojas,329 808 29 51,,2024-07-27
64,Luisa,Ramírez,1768524,brayanreyes@example.com,2024-09-21
65,María,Restrepo,(+57)3266273524,,2024-08-14
66,Mario,Vera,3286240981,ligia12@example.net,2024-08-04
67,Santiago,Orozco,573165927273,arteagayeison@example.org,2025-10-30
68,Francy,Espitia,+57 602 468 95 34,erazojhon@example.net,2025-02-24
69,Milena,Zambrano,(+57)6035589181,npalacio@example.org,2025-07-30
70,Fernando,Gómez,3111015697,fvargas@example.net,2026-01-05
71,José,García,573122425334,barretojavier@example.com,2025-05-16
72,José,Benavides,57 302 765 78 85,hernandopadilla@example.org,2024-12-26
73,Cecilia,Villegas,+576051806529,sandra35@example.com,2024-08-31
74,Josefina,Rosero,605 900 13 66,,2026-02-05
75,Manuel,Herrera,+573236113682,andres11@example.com,2026-01-07
76,Néstor,Páez,+57 602 750 63 25,nsierra@example.com,2024-06-13
77,Néstor,Angulo,+573276597081,josevillamizar@example.com,2025-02-23
78,Cecilia,Acevedo,307 430 23 80,felipe72@example.com,2026-03-16
79,Andrés,Méndez,(+57)3001874762,gabrielleal@example.com,2025-05-16
80,Arturo,Díaz,573277998631,uribedavid@example.org,2024-11-08
81,Jair,Guzmán,57 308 936 03 86,romeroelena@example.org,2025-05-30
82,Yesenia,Bautista,(+57)3084525709,mendozaricardo@example.net,2025-07-15
83,Jefferson,Niño,(+57)6077881166,bustosfernanda@example.org,2025-08-28
84,Myriam,González,+576044723463,,2025-10-10
85,Ana,Correa,(+57) 322 995 47 96,darwin33@example.org,2025-11-26
86,Socorro,Gómez,57 608 814 45 77,estherparada@example.com,2025-10-13
87,Luis,Londoño,+57 601 449 45 82,,2024-07-24
88,María,Gutiérrez,57 311 306 22 64,,2025-05-06
89,Augusto,Rojas,573141860190,emerson08@example.com,2025-04-08
90,Luis,Calderón,57 607 795 86 51,gabrielosorio@example.org,2024-04-04
91,Beatriz,Chaparro,+57 312 385 19 12,rubyleon@example.org,2026-02-09
92,Andrés,Salazar,57 322 046 48 27,,2025-03-25
93,Fernando,Fonseca,+573279538678,,2025-02-19
94,César,Contreras,57 314 541 12 01,,2025-05-05
95,Javier,Duque,(+57)3049773564,,2024-08-17
96,Albeiro,Camargo,01 8008 356 072,pablo60@example.com,2025-04-20
97,Luis,Cortés,573097338792,,2025-12-01
98,Patricia,Moreno,+573007626708,horacioyepes@example.net,2025-02-21
99,Hugo,Rodríguez,(+57)3233883082,frestrepo@example.net,2024-09-13
100,Mauricio,Fuentes,+573056457375,lilianalopez@example.org,2025-06-17
101,Henry,Buitrago,325 96 19,maria68@example.net,2025-04-23
102,Antonio,Quintero,607 716 20 75,,2025-02-04
103,Fabián,Pinzón,576084439916,joseortega@example.com,2025-01-27
104,José,Osorio,+573281008453,alejandragamboa@example.com,2025-10-28
105,Milena,Barrera,+573022171111,,2025-11-23
106,Manuel,Velasco,529 83 94,fabioespinosa@example.org,2025-07-14
107,Fernando,Perea,(+57) 322 323 43 34,patricia06@example.com,2026-03-01
108,Diana,Cruz,6013460465,,2025-12-16
109,Vanesa,Gómez,3033546090,monsalvejavier@example.com,2025-10-04
110,Fernando,Molina,576045012373,molinajhon@example.com,2026-02-24
111,María,Hernández,(+57) 306 461 94 94,margarita89@example.com,2025-02-20
112,Andrea,Gonzáles,(+57) 314 678 96 83,,2025-04-28
113,Enrique,Ortega,8393403,,2024-07-31
114,Alex,Vargas,3046575154,dmunoz@example.org,2024-06-17
115,Nelly,Vega,+573189749811,castrillonadriana@example.com,2025-01-30
116,Carolina,Rivera,+57 324 607 49 80,bgalvis@example.net,2025-09-27
117,Laura,Patiño,573229774761,amparomartinez@example.net,2025-01-08
118,María,Vallejo,+57 326 407 85 58,riveraclemencia@example.org,2025-05-31
119,Luz,Villamizar,(+57)3222710202,nposada@example.org,2025-11-21
120,Jesús,Vega,+573009607861,carlos88@example.net,2024-04-03
121,Danny,Buitrago,+57 327 507 30 84,nidia31@example.org,2025-05-09
122,Margarita,Mora,01 8003 843 992,ceciliacontreras@example.org,2024-11-24
123,Rosa,Morales,57 323 144 61 61,yuliramirez@example.org,2025-12-23
124,María,Velásquez,57 306 027 38 30,monicareyes@example.com,2025-12-01
125,Mercedes,Acevedo,309 458 09 78,nhenao@example.net,2025-06-20
126,Inés,Jaramillo,+57 313 602 81 92,,2025-02-06
127,Alejandra,Cano,+573215742438,,2025-08-23
128,Sandra,Domínguez,317 547 13 82,milenaburbano@example.org,2025-06-26
129,Alcira,Murillo,305 701 92 53,,2025-08-24
130,Jacqueline,Villegas,+573252224931,,2025-10-28
131,Jaime,Peña,57 608 630 60 83,,2024-05-26
132,Óscar,Zambrano,3080608501,,2024-08-30
133,David,Morales,(+57) 607 428 80 50,blopez@example.com,2025-03-20
134,Clara,Melo,(+57) 604 853 83 27,,2026-01-15
135,Sonia,Vergara,303 846 03 38,elenamejia@example.org,2025-03-27
136,Claudia,Díaz,320 422 10 76,mhenao@example.com,2024-11-04
137,Rodolfo,Londoño,(+57) 306 206 77 83,estefania59@example.net,2026-01-13
138,Marisol,Arboleda,3068124350,jmoreno@example.org,2025-07-09
139,Luisa,Pérez,317 950 90 60,gmesa@example.net,2025-06-22
140,Andrea,Rentería,3038792674,arteagafernando@example.com,2025-08-21
141,Dario,Ortega,+573113562304,nataliaramos@example.org,2025-12-01
142,Andrés,Meneses,(+57)3038355680,,2025-07-24
143,Leandro,Molina,(+57)3035362060,angela03@example.org,2024-10-09
144,Cindy,Moreno,573061086268,,2025-07-10
145,Ruth,Castro,018005165819,aestrada@example.net,2026-01-30
146,Carmen,Bernal,(+57) 324 345 01 92,,2025-04-18
147,Fabián,Moreno,3034431886,icaicedo@example.org,2024-08-31
148,Ángela,Alarcón,573134226403,,2025-06-30
149,Paola,Tamayo,(+57)3240353022,nramirez@example.net,2025-05-17
150,Gladys,Patiño,(+57)3174911323,aquiroga@example.com,2025-07-30
151,Yaneth,Rodríguez,57 308 750 37 25,,2024-06-06
152,Guillermo,Ruiz,(+57)3014585224,eduarmosquera@example.com,2024-04-22
153,Elena,Pérez,3249766705,ncaballero@example.com,2025-04-05
